id,cbo,descricao,disponivel,user_id,created_at,updated_at
,10105,Oficial general da aeronáutica,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,10110,Oficial general do exército,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,10115,Oficial general da marinha,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,10205,Oficial da aeronáutica,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,10210,Oficial do exército,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,10215,Oficial da marinha,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,10305,Praça da aeronáutica,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,10310,Praça do exército,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,10315,Praça da marinha,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,20105,Coronel da polícia militar,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,20110,Tenente-coronel da polícia militar,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,20115,Major da polícia militar,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,20205,Capitão da polícia militar,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,20305,Primeiro tenente de polícia militar,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,20310,Segundo tenente de polícia militar,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,21105,Subtenente da policia militar,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,21110,Sargento da policia militar,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,21205,Cabo da polícia militar,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,21210,Soldado da polícia militar,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,30105,Coronel bombeiro militar,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,30110,Major bombeiro militar,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,30115,Tenente-coronel bombeiro militar,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,30205,Capitão bombeiro militar,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,30305,Tenente do corpo de bombeiros militar,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,31105,Subtenente bombeiro militar,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,31110,Sargento bombeiro militar,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,31205,Cabo bombeiro militar,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,31210,Soldado bombeiro militar,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,111105,Senador,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,111110,Deputado federal,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,111115,Deputado estadual e distrital,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,111120,Vereador,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,111205,Presidente da república,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,111210,Vice-presidente da república,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,111215,Ministro de estado,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,111220,Secretário - executivo,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
