A00.0,"Cólera Devida a Vibrio Cholerae 01, Biótipo Cholerae"
A01.0,Febre Tifóide
A02.0,Enterite Por Salmonela
A03.0,Shiguelose Devida a Shigella Dysenteriae
A04.0,Infecção Por Escherichia Coli Enteropatogênica
A05.0,Intoxicação Alimentar Estafilocócica
A06.0,Disenteria Amebiana Aguda
A07.0,Balantidíase
A08.0,Enterite Por Rotavírus
A15.0,"Tuberculose Pulmonar, Com Confirmação Por Exame Microscópico da Expectoração, Com ou Sem Cultura"
A16.0,Tuberculose Pulmonar Com Exames Bacteriológico e Histológico Negativos
A17.0,Meningite Tuberculosa
A18.0,Tuberculose Óssea e Das Articulações
A19.0,Tuberculose Miliar Aguda de Localização Única e Especificada
A20.0,Peste Bubônica
A21.0,Tularemia Ulceroglandular
A22.0,Carbúnculo Cutâneo
A23.0,Brucelose Por Brucella Melitensis
A24.0,Mormo
A25.0,Espirilose
A26.0,Erisipelóide Cutâneo
A27.0,Leptopirose Icterohemorrágica
A28.0,Pasteurelose
A30.0,Hanseníase (lepra) Indeterminada
A31.0,Infecção Pulmonar Micobacteriana
A32.0,Listeriose Cutânea
A36.0,Difteria Faríngea
A37.0,Coqueluche Por Bordetella Pertussis
A39.0,Meningite Meningocócica
A40.0,Septicemia Por Streptococcus do Grupo A
A41.0,Septicemia Por Staphylococcus Aureus
A42.0,Actinomicose Pulmonar
A43.0,Nocardiose Pulmonar
A44.0,Bartonelose Sistêmica
A48.0,Gangrena Gasosa
A49.0,Infecção Estafilocócica de Localização Não Especificada
A50.0,Sífilis Congênita Precoce Sintomática
A51.0,Sífilis Genital Primária
A52.0,Sífilis Cardiovascular
A53.0,"Sífilis Latente, Não Especificada se Recente ou Tardia"
A54.0,"Infecção Gonocócica do Trato Geniturinário Inferior, Sem Abscesso Periuretral ou Das Glândulas Acessórias"
A56.0,Infecções Por Clamídias do Trato Geniturinário Inferior
A59.0,Tricomoníase Urogenital
A60.0,Infecção Dos Órgãos Genitais e do Trato Geniturinário Pelo Vírus do Herpes
A63.0,Verrugas Anogenitais (venéreas)
A66.0,Lesões Iniciais da Bouba
A67.0,Lesões Primárias da Pinta
A68.0,Febre Recorrente Transmitida Por Piolhos
A69.0,Estomatite Ulcerativa Necrotizante
A71.0,Fase Inicial do Tracoma
A74.0,Conjuntivite Causada Por Clamídias
A75.0,Tifo Epidêmico Transmitido Por Piolhos Devido a Rickettsia Prowazekii
A77.0,Febre Maculosa Por Rickettsia Richettsii
A79.0,Febre Das Trincheiras
A80.0,"Poliomielite Paralítica Aguda, Associada ao Vírus Vacinal"
A81.0,Doença de Creutzfeldt-Jakob
A82.0,Raiva Silvestre
A83.0,Encefalite Japonesa
A84.0,Encefalite da Taiga (encefalite Vernoestival Russa)
A85.0,Encefalite Por Enterovírus
A87.0,Meningite Por Enterovírus
A88.0,Febre Exantemática Por Enterovírus (exantema de Boston)
A92.0,Febre de Chikungunya
A93.0,Febre de Oropouche
A95.0,Febre Amarela Silvestre
A96.0,Febre Hemorrágica de Junin
A98.0,Febre Hemorrágica da Criméia (do Congo)
B00.0,Eczema Herpético
B01.0,Meningite Por Varicela
B02.0,Encefalite Pelo Vírus do Herpes Zoster
B05.0,Sarampo Complicado Por Encefalite
B06.0,Rubéola Com Complicações Neurológicas
B08.0,Outras Infecções Por Ortopoxvírus
B15.0,Hepatite A Com Coma Hepático
B16.0,"Hepatite Aguda B Com Agente Delta (co-infecção), Com Coma Hepático"
B17.0,(Super)infecção Delta Aguda de Portador de Hepatite B
B18.0,Hepatite Viral Crônica B Com Agente Delta
B19.0,"Hepatite Viral, Não Especificada, Com Coma"
B20.0,Doença Pelo HIV Resultando em Infecções Micobacterianas
B21.0,Doença Pelo HIV Resultando em Sarcoma de Kaposi
B22.0,Doença Pelo HIV Resultando em Encefalopatia
B23.0,Síndrome de Infecção Aguda Pelo HIV
B25.0,Pneumonite Por Citomegalovírus
B26.0,Orquite Por Caxumba (parotidite Epidêmica)
B27.0,Mononucleose Pelo Vírus Herpes Gama
B30.0,Ceratoconjuntivite Devida a Adenovírus
B33.0,Mialgia Epidêmica
B34.0,Infecção Por Adenovírus de Localização Não Especificada
B35.0,Tinha da Barba e do Couro Cabeludo
B36.0,Pitiríase Versicolor
B37.0,Estomatite Por Candida
B38.0,Coccidioidomicose Pulmonar Aguda
B39.0,Histoplasmose Pulmonar Aguda Por Histoplasma Capsulatum
B40.0,Blastomicose Pulmonar Aguda
B41.0,Paracoccidioidomicose Pulmonar
B42.0,Esporotricose Pulmonar
B43.0,Cromomicose Cutânea
B44.0,Aspergilose Pulmonar Invasiva
B45.0,Criptococose Pulmonar
B46.0,Mucormicose Pulmonar
B47.0,Eumicetoma
B48.0,Lobomicose
B50.0,Malária Por Plasmodium Falciparum Com Complicações Cerebrais
B51.0,Malária Por Plasmodium Vivax Com Rotura do Baço
B52.0,Malária Por Plasmodium Malariae Com Nefropatia
B53.0,Malária Por Plasmodium Ovale
B55.0,Leishmaniose Visceral
B56.0,Tripanossomíase Por Trypanosoma Gambiense
B57.0,"Forma Aguda da Doença de Chagas, Com Comprometimento Cardíaco"
B58.0,Oculopatia Por Toxoplasma
B60.0,Babesiose
B65.0,Esquistossomose Devida ao Schistosoma Haematobium (esquistossomose Urinária)
B66.0,Opistorquíase
B67.0,Infestação Hepática Por Echinococcus Granulosus
B68.0,Infestação Por Taenia Solium
B69.0,Cisticercose do Sistema Nervoso Central
B70.0,Difilobotríase
B71.0,Infestação Por Hymenolepis
B74.0,Filariose Por Wuchereria Bancrofti
B76.0,Ancilostomose
B77.0,Ascaridíase Com Complicações Intestinais
B78.0,Estrongiloidíase Intestinal
B81.0,Anisaquíase
B82.0,Helmintíase Intestinal Não Especificada
B83.0,Larva Migrans Visceral
B85.0,Pediculose Devida a Pediculus Humanus Capitis
B87.0,Miíase Cutânea
B88.0,Outras Acaríases
B90.0,Seqüelas de Tuberculose do Sistema Nervoso Central
B94.0,Seqüelas de Tracoma
B95.0,"Estreptococo do Grupo A, Como Causa de Doenças Classificadas em Outros Capítulos"
