id,cid,procedimento,descricao,user_id,diponivel,created_at,updated_at
,A00.0,,"Cólera Devida a Vibrio Cholerae 01, Biótipo Cholerae",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A01.0,,Febre Tifóide,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A02.0,,Enterite Por Salmonela,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A03.0,,Shiguelose Devida a Shigella Dysenteriae,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A04.0,,Infecção Por Escherichia Coli Enteropatogênica,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A05.0,,Intoxicação Alimentar Estafilocócica,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A06.0,,Disenteria Amebiana Aguda,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A07.0,,Balantidíase,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A08.0,,Enterite Por Rotavírus,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A15.0,,"Tuberculose Pulmonar, Com Confirmação Por Exame Microscópico da Expectoração, Com ou Sem Cultura",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A16.0,,Tuberculose Pulmonar Com Exames Bacteriológico e Histológico Negativos,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A17.0,,Meningite Tuberculosa,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A18.0,,Tuberculose Óssea e Das Articulações,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A19.0,,Tuberculose Miliar Aguda de Localização Única e Especificada,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A20.0,,Peste Bubônica,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A21.0,,Tularemia Ulceroglandular,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A22.0,,Carbúnculo Cutâneo,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A23.0,,Brucelose Por Brucella Melitensis,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A24.0,,Mormo,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A25.0,,Espirilose,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A26.0,,Erisipelóide Cutâneo,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A27.0,,Leptopirose Icterohemorrágica,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A28.0,,Pasteurelose,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A30.0,,Hanseníase (lepra) Indeterminada,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A31.0,,Infecção Pulmonar Micobacteriana,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A32.0,,Listeriose Cutânea,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A36.0,,Difteria Faríngea,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A37.0,,Coqueluche Por Bordetella Pertussis,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A39.0,,Meningite Meningocócica,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A40.0,,Septicemia Por Streptococcus do Grupo A,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A41.0,,Septicemia Por Staphylococcus Aureus,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A42.0,,Actinomicose Pulmonar,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A43.0,,Nocardiose Pulmonar,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A44.0,,Bartonelose Sistêmica,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A48.0,,Gangrena Gasosa,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A49.0,,Infecção Estafilocócica de Localização Não Especificada,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A50.0,,Sífilis Congênita Precoce Sintomática,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A51.0,,Sífilis Genital Primária,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A52.0,,Sífilis Cardiovascular,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A53.0,,"Sífilis Latente, Não Especificada se Recente ou Tardia",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A54.0,,"Infecção Gonocócica do Trato Geniturinário Inferior, Sem Abscesso Periuretral ou Das Glândulas Acessórias",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A56.0,,Infecções Por Clamídias do Trato Geniturinário Inferior,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A59.0,,Tricomoníase Urogenital,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A60.0,,Infecção Dos Órgãos Genitais e do Trato Geniturinário Pelo Vírus do Herpes,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A63.0,,Verrugas Anogenitais (venéreas),1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A66.0,,Lesões Iniciais da Bouba,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A67.0,,Lesões Primárias da Pinta,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A68.0,,Febre Recorrente Transmitida Por Piolhos,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A69.0,,Estomatite Ulcerativa Necrotizante,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A71.0,,Fase Inicial do Tracoma,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A74.0,,Conjuntivite Causada Por Clamídias,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
