id,servico,procedimento,descricao,diponivel,user_id,created_at,updated_at
,103,02.11.02.003-6,Serviço de Atendimento Móvel de Urgências,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,103,02.11.02.008-7,Serviço de Atendimento Móvel de Urgências,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,103,03.01.03.002-2,Serviço de Atendimento Móvel de Urgências,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,103,03.01.03.004-9,Serviço de Atendimento Móvel de Urgências,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,103,03.01.03.005-7,Serviço de Atendimento Móvel de Urgências,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,103,03.01.03.008-1,Serviço de Atendimento Móvel de Urgências,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,103,03.01.03.009-0,Serviço de Atendimento Móvel de Urgências,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,103,03.01.03.010-3,Serviço de Atendimento Móvel de Urgências,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,103,03.01.03.015-4,Serviço de Atendimento Móvel de Urgências,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,103,03.01.03.016-2,Serviço de Atendimento Móvel de Urgências,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,103,06.03.05.011-5,Serviço de Atendimento Móvel de Urgências,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,103,06.03.05.012-3,Serviço de Atendimento Móvel de Urgências,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,104,03.01.03.011-1,Regulação Assistencial dos Serviços de Saúde,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,104,03.01.03.012-0,Regulação Assistencial dos Serviços de Saúde,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,104,03.01.03.013-8,Regulação Assistencial dos Serviços de Saúde,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,104,03.01.03.014-6,Regulação Assistencial dos Serviços de Saúde,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
