id,codigo,procedimento,descricao,disponivel,user_id,created_at,updated_at
,01.01.01.001-0,ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO PRIMÁRIA,,1,1,,
,01.01.01.002-8,ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO ESPECIALIZADA,,1,1,,
,01.01.01.003-6,PRÁTICA CORPORAL / ATIVIDADE FÍSICA EM GRUPO,,1,1,,
,01.01.01.009-5,PREVENÇÃO DA COVID-19 NAS ESCOLAS,,1,1,,
,01.01.01.010-9,ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DAMALÁRIA,,1,1,,
,01.01.02.001-5,AÇÃO COLETIVA DE APLICAÇÃO TÓPICA DE FLÚOR GEL,,1,1,,
,01.01.02.002-3,AÇÃO COLETIVA DE BOCHECHO FLUORADO,,1,1,,
,01.01.02.003-1,AÇÃO COLETIVA DE ESCOVAÇÃO DENTAL SUPERVISIONADA,,1,1,,
,01.01.02.004-0,AÇÃO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLÓGICA,,1,1,,
,01.01.01.001-0,ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO PRIMÁRIA,,1,1,,
,01.01.01.002-8,ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO ESPECIALIZADA,,1,1,,
,01.01.01.003-6,PRÁTICA CORPORAL / ATIVIDADE FÍSICA EM GRUPO,,1,1,,
,01.01.01.009-5,PREVENÇÃO DA COVID-19 NAS ESCOLAS,,1,1,,
,01.01.01.010-9,ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DAMALÁRIA,,1,1,,
,01.01.02.001-5,AÇÃO COLETIVA DE APLICAÇÃO TÓPICA DE FLÚOR GEL,,1,1,,
,01.01.02.002-3,AÇÃO COLETIVA DE BOCHECHO FLUORADO,,1,1,,
,01.01.02.003-1,AÇÃO COLETIVA DE ESCOVAÇÃO DENTAL SUPERVISIONADA,,1,1,,
,01.01.02.004-0,AÇÃO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLÓGICA,,1,1,,
,01.01.02.005-8,APLICAÇÃO DE CARIOSTÁTICO (POR DENTE,,1,1,,
,01.01.02.006-6,APLICAÇÃO DE SELANTE (POR DENTE,,1,1,,
,01.01.02.007-4,APLICAÇÃO TÓPICA DE FLÚOR (INDIVIDUAL POR SESSÃO,,1,1,,
,01.01.02.008-2,EVIDENCIAÇÃO DE PLACA BACTERIANA,,1,1,,
,01.01.02.009-0,SELAMENTO PROVISÓRIO DE CAVIDADE DENTÁRIA,,1,1,,
,01.01.02.010-4,ORIENTAÇÃO DE HIGIENE BUCAL,,1,1,,
,01.01.02.011-2,AÇÃO COLETIVA DE PREVENÇÃO DE CÂNCER BUCAL,,1,1,,
,01.01.02.012-0,ORIENTAÇÃO DE HIGIENIZAÇÃO DE PRÓTESES DENTÁRIAS,,1,1,,
,01.01.03.001-0,VISITA DOMICILIAR POR PROFISSIONAL DE NÍVEL MÉDIO,,1,1,,
,01.01.03.002-9,VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NÍVEL SUPERIOR,,1,1,,
,01.01.04.002-4,AVALIAÇÃO ANTROPOMÉTRICA,,1,1,,
,01.01.04.003-2,COLETA EXTERNA DE LEITE MATERNO (POR DOADORA,,1,1,,
,01.01.04.004-0,PASTEURIZAÇÃO DO LEITE HUMANO (CADA 5 LITROS,,1,1,,
,01.01.04.005-9,ADMINISTRAÇÃO DE VITAMINA A,,1,1,,
,01.01.04.007-5,MEDIÇÃO DE ALTURA,,1,1,,
,01.01.04.008-3,MEDIÇÃO DE PESO,,1,1,,
,01.01.04.009-1,DISPENSAÇÃO DE SUPLEMENTO DE MICRONUTRIENTES EM PÓ - NUTRISUS,,1,1,,
,01.01.04.010-5,DISPENSAÇÃO DE SUPLEMENTO DE ÁCIDO FÓLICO ,,1,1,,
,01.01.04.011-3,DISPENSAÇÃO DE SUPLEMENTO DE FERRO,,1,1,,
,01.01.04.012-1,AVALIAÇÃO DO RISCO DE INSEGURANÇA ALIMENTAR,,1,1,,
,01.01.05.001-1,PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA,,1,1,,
,01.01.05.002-0,TERAPIA COMUNITÁRIA,,1,1,,
,01.01.05.004-6,YOGA,,1,1,,
,01.01.05.005-4,OFICINA DE MASSAGEM/ AUTO-MASSAGEM,,1,1,,
,01.01.05.006-2,SESSÃO DE ARTETERAPIA,,1,1,,
,01.01.05.007-0,SESSÃO DE MEDITAÇÃO,,1,1,,
,01.01.05.008-9,SESSÃO DE MUSICOTERAPIA,,1,1,,
,01.01.05.009-7,SESSÃO DE ANTROPOSOFIA APLICADA À SAÚDE,,1,1,,
,01.01.05.010-0,SESSÃO DE BIODANÇA,,1,1,,
,01.01.05.011-9,SESSÃO DE BIOENERGÉTICA,,1,1,,
,01.01.05.012-7,SESSÃO DE CONSTELAÇÃO FAMILIAR,,1,1,,
,01.01.05.013-5,SESSÃO DE DANÇA CIRCULAR,,1,1,,
,01.01.05.014-3,SESSÃO DE TERMALISMO,,1,1,,
,01.02.01.005-6,ATIVIDADES EDUCATIVAS PARA O SETOR REGULADO,,1,1,,
,01.02.01.006-4,ANÁLISE DE PROJETOS BÁSICOS DE ARQUITETURA,,1,1,,
,01.02.01.007-2,CADASTRO DE ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA,,1,1,,
,01.02.01.014-5,INSPEÇÃO SANITÁRIA DE HOSPITAIS,,1,1,,
,01.02.01.015-3,INVESTIGAÇÃO DE EVENTOS ADVERSOS E/OU QUEIXAS TÉCNICAS,,1,1,,
,01.02.01.016-1,EXCLUSÃO DE CADASTRO DE ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA COM ATIVIDADES ENCERRADAS.,,1,1,,
,01.02.01.017-0,INSPEÇÃO DOS ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA,,1,1,,
,01.02.01.018-8,LICENCIAMENTO DOS ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA,,1,1,,
,01.02.01.019-6,APROVAÇÃO DE PROJETOS BÁSICOS DE ARQUITETURA,,1,1,,
,01.02.01.020-0,INVESTIGAÇÃO DE SURTOS DE DOENÇAS TRANSMITIDAS POR ALIMENTOS,,1,1,,
,01.02.01.021-8,INVESTIGAÇÃO DE SURTOS DE INFECÇÃO EM SERVIÇOS DE SAÚDE,,1,1,,
,01.02.01.022-6,ATIVIDADE EDUCATIVA PARA A POPULAÇÃO,,1,1,,
,01.02.01.023-4,RECEBIMENTO DE DENÚNCIAS/RECLAMAÇÕES,,1,1,,
,01.02.01.024-2,ATENDIMENTO À DENÚNCIAS/RECLAMAÇÕES,,1,1,,
,01.02.01.025-0,CADASTRO DE HOSPITAIS,,1,1,,
,01.02.01.026-9,LICENCIAMENTO SANITÁRIO DE HOSPITAIS,,1,1,,
,01.02.01.027-7,CADASTRO DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS,,1,1,,
,01.02.01.028-5,INSPEÇÃO SANITÁRIA DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS,,1,1,,
,01.02.01.029-3,LICENCIAMENTO SANITÁRIO DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS,,1,1,,
